OTU ID	Consensus Lineage
655	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
657	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
658	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
663	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
667	Firmicutes;Clostridia;Clostridiales
668	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
669	
673	Bacteroidetes;Bacteroidetes;Bacteroidales
677	
679	Bacteroidetes;Bacteroidetes;Bacteroidales;Prevotellaceae;Prevotella
689	
691	Firmicutes;Bacilli;Lactobacillales;Aerococcaceae
696	
701	
702	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
705	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium
713	Proteobacteria;Alphaproteobacteria
714	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacteriaceae 1;Atopostipes
721	Firmicutes;Clostridia;Clostridiales
724	Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella
727	Firmicutes;Clostridia
729	
733	Proteobacteria;Gammaproteobacteria;Pseudomonadales
741	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
742	Proteobacteria
744	Cyanobacteria;Cyanobacteria;Family I;GpI
745	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter
749	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
751	Proteobacteria;Betaproteobacteria
752	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
758	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium
759	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Adhaeribacter
763	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
764	TM7;TM7_genera_incertae_sedis
772	Proteobacteria;Alphaproteobacteria
773	
775	
783	Proteobacteria
785	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
794	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Spirosoma
795	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Crenotrichaceae;Terrimonas
801	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae Incertae Sedis
806	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga
810	Proteobacteria;Alphaproteobacteria;Rhizobiales
812	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Shuttleworthia
816	Proteobacteria;Betaproteobacteria;Burkholderiales
819	Bacteroidetes;Bacteroidetes;Bacteroidales;Prevotellaceae;Prevotella
820	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
831	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
832	Proteobacteria;Alphaproteobacteria
841	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
849	
854	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
856	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
858	
859	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Promicromonosporaceae;Cellulosimicrobium
864	
866	Bacteroidetes
868	
870	Proteobacteria
873	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Pseudonocardia
875	
879	
884	Bacteroidetes;Sphingobacteria;Sphingobacteriales
886	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae
889	Proteobacteria
891	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium
900	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
907	Proteobacteria;Alphaproteobacteria
908	Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcaceae Incertae Sedis
912	
914	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
915	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas
920	
925	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
927	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae
928	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
932	Bacteroidetes;Sphingobacteria;Sphingobacteriales
933	Proteobacteria;Alphaproteobacteria;Rhizobiales
944	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
952	Firmicutes;Bacilli;Bacillales;Bacillaceae
957	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
959	Proteobacteria;Betaproteobacteria;Burkholderiales
961	Proteobacteria;Alphaproteobacteria;Rhizobiales
962	Firmicutes;Clostridia;Clostridiales
972	Proteobacteria
975	Proteobacteria;Gammaproteobacteria;Pseudomonadales
977	Proteobacteria;Alphaproteobacteria;Rhizobiales
978	Proteobacteria;Betaproteobacteria;Burkholderiales
981	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae;Patulibacteraceae;Patulibacter
989	Bacteroidetes
991	Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Bacteroides
994	
996	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium
997	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp7
999	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium
1002	Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema
